"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zeb1.W.Rara_-2|-|+",1263.96875,-0.0467177846629679,0.257145261306066,-0.181678575081196,0.855834980744961,0.999999953144169
"Zeb1.W.Nr3c1_-2|-|+",695.75,0.0313423022144448,0.347822081908246,0.0901101564411678,0.928199678383322,0.999999953144169
"Zeb1.W.Nfic_-1|-|+",730.225,0.33269849000918,0.94238246949156,0.353039769711208,0.724058625800528,0.999999953144169
"Zeb1.W.Nfic_-1|+|+",1154.91875,-0.0621871236620782,0.503747878127704,-0.123448904426578,0.901751633066143,0.999999953144169
"Zeb1.W.Nfe2l1_-1|-|-",1379.7375,0.0831675906579177,0.763505451927254,0.108928613997431,0.91325911099064,0.999999953144169
"Zeb1.W.NF1-halfsite(CTF)-LNCaP-NF1-ChIP-Seq(Unpublished)-Homer_-4|-|-",886.11875,0.0623362637135663,0.989290605858009,0.0630110741418617,0.949757685956345,0.999999953144169
"Zeb1.W.Maff:Mafk_-2|-|-",1073.29375,0.155734212530129,0.354683382518298,0.439079528971434,0.660603911583592,0.999999953144169
"Zeb1.W.Maff:Mafk_-2|-|+",637.0875,-0.0525506337704151,0.630880580989109,-0.0832972758299599,0.933615166341414,0.999999953144169
"Zeb1.W.Hmbox1_-2|-|-",842.1625,0.144495580839835,0.347138026308012,0.416248206445773,0.677228388071995,0.999999953144169
"Zeb1.W.Arid3a_-2|-|+",1101.03125,0.0749623227883623,0.592500238777889,0.126518637263307,0.899321397184416,0.999999953144169
"Zbtb7b.W.Zfp384_-2|-|-",246.00625,0.0171823443247058,0.309290071264674,0.0555541413096381,0.95569699798144,0.999999953144169
"Zbtb7a.W.Zfp384_-3|-|-",995.775,0.0447925167165769,0.303569539555226,0.14755273794006,0.882695756360925,0.999999953144169
"Zbtb7a.W.Smad4_-2|+|+",1505.51875,-0.022429963375437,0.224041212096848,-0.100115345589815,0.920252752522838,0.999999953144169
"Zbtb7a.W.Nfatc2_-3|-|+",914.18125,-0.0638281085264292,0.889639759109365,-0.0717460161518957,0.942804034901687,0.999999953144169
"Zbtb7a.W.Myc_-4|+|-",759.10625,-0.272184420533843,0.829972799158907,-0.327943784193499,0.742954167713669,0.999999953144169
"Zbtb7a.W.Irf4:Irf1_-2|-|-",2190.09375,-0.224430971481262,0.667272046715997,-0.336341035992452,0.736613708299403,0.999999953144169
"Zbtb7a.W.Irf4:Irf1_-2|-|+",360.7625,-0.0155559630729432,0.546733365541338,-0.028452558510931,0.977301205517706,0.999999953144169
"Ybx1.W.Creb3_-4|-|+",486.48125,0.223369247426984,0.670940038298055,0.332919835867293,0.739194795880723,0.999999953144169
"Tfap4.W.Ebf1_-2|-|-",313.05,0.308284577407896,0.660658981215683,0.466631932923426,0.640763236319498,0.999999953144169
"Tfap4.W.Ebf1_-2|+|+",460.3875,-0.151703392197793,0.601317090000728,-0.252285183176167,0.800820639926139,0.999999953144169
"Tbp.W.Ybx1_-3|+|-",1472.43125,-0.0457192409515688,0.301051796829159,-0.151865032639262,0.879293388258239,0.999999953144169
"Tbp.W.Sox4_-3|+|+",817.025,-0.226880086392088,0.446750746587257,-0.507844895896049,0.611562121589599,0.999999953144169
"Tbp.W.Ppard:Nr2c2_-3|+|+",731.1875,0.0417120012011726,0.313958089046443,0.132858501361952,0.894305286993634,0.999999953144169
"Tbp.W.Pbx2_-4|+|+",736.69375,0.0354684820736525,0.716842245308899,0.0494787832410303,0.960537745007768,0.999999953144169
"Tbp.W.Nfe2l1_-1|-|-",1015.85625,-0.0356578776551502,0.309260719693838,-0.115300377268897,0.908207039340583,0.999999953144169
"Tbp.W.Nfe2l1_-1|-|+",358.51875,0.415681528778319,0.28017500246869,1.48364959441652,0.137901905009215,0.999999953144169
"Tbp.W.Hnf1b_-2|+|+",521.28125,0.162851384782247,0.566024035529476,0.287711076844838,0.773567910293991,0.999999953144169
"Sox4.W.Nfic_-3|-|-",253.275,-0.0871297601924609,0.477291579781722,-0.182550381953748,0.85515081945214,0.999999953144169
"Sox4.W.Nfatc2_-4|+|-",1196.925,-0.4562391380201,0.284322735773472,-1.60465232152099,0.108570340065322,0.999999953144169
"Smad4.W.Ybx1_-3|+|-",928.65,-0.243420923008366,0.320369652129627,-0.759812676981883,0.447366564207515,0.999999953144169
"Smad4.W.Ybx1_-3|+|+",1677.88125,-0.126618130542626,0.181561257813529,-0.69738518044785,0.485561773352964,0.999999953144169
"Smad4.W.Creb3_-2|-|-",355.525,0.0631061313045487,0.260066252295319,0.242654057370305,0.808273400702271,0.999999953144169
"Rxra.W.Zbtb33-halfSite_-3|-|+",790.51875,0.795469322681037,1.11592566203033,0.712833614054319,0.475948722589261,0.999999953144169
"Runx1.W.Smad4_-2|-|-",922.9875,0.0944039938409429,0.442474850376504,0.213354485030311,0.831050478810131,0.999999953144169
"Runx1.W.Smad4_-2|+|-",843.08125,0.270700315909329,0.475792417889886,0.568946258349115,0.569392611466364,0.999999953144169
"Runx1.W.Cxxc1_-3|-|-",1504.8375,0.190486814237966,0.63149686328739,0.301643326059209,0.762923976047361,0.999999953144169
"Rfx3.W.Runx1_-4|-|+",920.58125,0.0268285562433281,0.303485364665595,0.0884014827960155,0.929557582811062,0.999999953144169
"Rbpj.W.Smad4_-2|+|+",1320.875,0.096470055454069,0.791915456361859,0.121818629348722,0.903042659746258,0.999999953144169
"Rbpj.W.Mbd2_-4|+|+",2087.23125,-0.00352251438714303,0.484507605659391,-0.00727029740296658,0.994199193052199,0.999999953144169
"Rara.W.Rbpj_-3|+|-",537.7125,-0.141508927650932,0.381543030445314,-0.370885893226176,0.710722522588367,0.999999953144169
"Rara.W.Pax7(Paired,Homeobox),longest-Myoblast-Pax7-ChIP-Seq(GSE25064)-Homer_-3|+|-",1588.0625,0.0290004054390235,0.223678693028007,0.129652069432435,0.896841705430825,0.999999953144169
